Query	data
 When the industrial designer suggests a charging station, what is the user interface thinking?	{"Subject1":"charging station","What-Was-Said-About-the-Subject":"user interface thinking","Person":"user interface"}
 What are people's most common uses for their remotes?	{"Subject1":"remotes","What-Was-Said-About-the-Subject":"people's most common uses"}
 What are people's most common uses for their remotes?	{"Subject1":"remotes","What-Was-Said-About-the-Subject":"people's most common uses"}
 What is the Minister of Finance's mandate letter?	{"Subject1":"Minister of Finance's mandate letter"}
 What is the Minister of Finance's mandate letter?	{"Subject1":"Minister of Finance's mandate letter"}
 What advice does Grad F give Professor D about backing up data?	{"Subject1":"backing up data","What-Was-Said-About-the-Subject":"advice does Grad F give Professor D","Person":"Grad F"}
 What advice does Grad F give Professor D about backing up data?	{"Subject1":"backing up data","What-Was-Said-About-the-Subject":"advice does Grad F give Professor D","Person":"Grad F"}
 Why is it important to have a backup of a CD-ROM?	{"Subject1":"CD-ROM","What-Was-Said-About-the-Subject":"important to have a backup"}
 Why is it important to have a backup of a CD-ROM?	{"Subject1":"CD-ROM","What-Was-Said-About-the-Subject":"important to have a backup"}
 What are the advantages to using titanium over plastic?	{"Subject1":"titanium over plastic","What-Was-Said-About-the-Subject":"advantages"}
 What are the advantages to using titanium over plastic?	{"Subject1":"titanium over plastic","What-Was-Said-About-the-Subject":"advantages"}
 What does the metropolitan council say about those who oppose the HMRC plan?	{"Subject1":"HMRC plan","What-Was-Said-About-the-Subject":"metropolitan council say about those who oppose"}
 What does the metropolitan council say about those who oppose the HMRC plan?	{"Subject1":"HMRC plan","What-Was-Said-About-the-Subject":"metropolitan council say about those who oppose"}
 What concerns do the Welsh Government have in relation to the attainment gap?	{"Subject1":"attainment gap","What-Was-Said-About-the-Subject":"concerns do the Welsh Government have"}
 What concerns do the Welsh Government have in relation to the attainment gap?	{"Subject1":"attainment gap","What-Was-Said-About-the-Subject":"concerns do the Welsh Government have"}
 Who ordered the original contract of clearing the Fraser River?	{"Subject1":"Fraser River","What-Was-Said-About-the-Subject":"ordered the original contract of clearing"}
 Who ordered the original contract of clearing the Fraser River?	{"Subject1":"Fraser River","What-Was-Said-About-the-Subject":"original contract of clearing"}
 Why is voice recognition not a viable option for this project?	{"Subject1":"voice recognition","What-Was-Said-About-the-Subject":"not a viable option"}
 Why is voice recognition not a viable option for this project?	{"Subject1":"voice recognition","What-Was-Said-About-the-Subject":"not a viable option"}
 What is the Project Manager's opinion on the design of the remote?	{"Subject1":"design of the remote","What-Was-Said-About-the-Subject":"Project Manager's opinion","Person":"Project Manager"}
 What is the Project Manager's opinion on the design of the remote?	{"Subject1":"design of the remote","What-Was-Said-About-the-Subject":"Project Manager's opinion","Person":"Project Manager"}
 What does Kirsty Williams say about the smooth operating of the hubs?	{"Subject1":"smooth operating of the hubs","What-Was-Said-About-the-Subject":"Kirsty Williams say","Person":"Kirsty Williams"}
 What does Kirsty Williams say about the smooth operating of the hubs?	{"Subject1":"smooth operating of the hubs","What-Was-Said-About-the-Subject":"Kirsty Williams say","Person":"Kirsty Williams"}
 What were the results with the short training set for the mean subtraction method?	{"Subject1":"mean subtraction method","What-Was-Said-About-the-Subject":"results with the short training set"}
 What were the results with the short training set for the mean subtraction method?	{"Subject1":"short training set","Subject2":"mean subtraction method","What-Was-Said-About-the-Subject":"results"}
 How will Qualifications Wales award grades to students who did not take their exams this smer?	{"Subject1":"students who did not take their exams this smer","What-Was-Said-About-the-Subject":"Wales award grades to"}
 How will Qualifications Wales award grades to students who did not take their exams this smer?	{"Subject1":"students who did not take their exams this smer","What-Was-Said-About-the-Subject":"Wales award grades to"}
 What are the materials the Industrial Designer was okay with?	{"Subject1":"materials","What-Was-Said-About-the-Subject":"Industrial Designer was okay with","Person":"Industrial Designer"}
 What are the materials the Industrial Designer was okay with?	{"Person":"Industrial Designer","Subject1":"materials","What-Was-Said-About-the-Subject":"Industrial Designer was okay with"}
 What should be done with old diskettes?	{"Subject1":"old diskettes","What-Was-Said-About-the-Subject":"should be done"}
 What should be done with old diskettes?	{"Subject1":"old diskettes"}
 What is Professor B's opinion on hiring Fey?	{"Subject1":"Fey","What-Was-Said-About-the-Subject":"Professor B's opinion on hiring","Person":"Professor B"}
 What is Professor B's opinion on hiring Fey?	{"What-Was-Said-About-the-Subject":"Professor B's opinion on hiring","Subject1":"Fey","Person":"Fey"}
 How does the Minister decide which groups of children will be able to go to school?	{"Subject1":"groups of children will be able to go to school","What-Was-Said-About-the-Subject":"Minister decide"}
 How does the Minister decide which groups of children will be able to go to school?	{"Person":"Minister","Subject1":"school","Subject2":"Minister decide which groups of children will be able to go"}
 What do people from the 15-35 age group think about speech recognition?	{"Subject1":"speech recognition","What-Was-Said-About-the-Subject":"people from the 15-35 age group think"}
 What do people from the 15-35 age group think about speech recognition?	{"Subject1":"speech recognition","What-Was-Said-About-the-Subject":"people from the 15-35 age group think"}
 What is the significance of Thilo's segmenter?	{"Subject1":"Thilo's segmenter","What-Was-Said-About-the-Subject":"significance","Person":"Thilo"}
 What is the significance of Thilo's segmenter?	{"Subject1":"Thilo's segmenter","What-Was-Said-About-the-Subject":"significance"}
 What is the general consensus of the meeting participants on the use of an LCD screen on the remote?	{"Subject1":"LCD screen on the remote","What-Was-Said-About-the-Subject":"general consensus of the meeting participants on the use of"}
 What is the general consensus of the meeting participants on the use of an LCD screen on the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"general consensus of the meeting participants on the use of an LCD screen","Person":"meeting participants"}
 What does the professor suggest about getting a new file server?	{"Subject1":"new file server","What-Was-Said-About-the-Subject":"professor suggest about getting","Person":"professor"}
 What does the professor suggest about getting a new file server?	{"Person":"professor","Subject1":"file server","What-Was-Said-About-the-Subject":"professor suggest about getting a new"}
 What is the main idea of the design?	{"Subject1":"design","What-Was-Said-About-the-Subject":"main idea"}
 What is the main idea of the design?	{"Subject1":"design","What-Was-Said-About-the-Subject":"main idea"}
 What are the different devices that the product has to be compatible with?	{"Subject1":"product has to be compatible with","What-Was-Said-About-the-Subject":"different devices"}
 What are the different devices that the product has to be compatible with?	{"Subject1":"product","Subject2":"different devices","What-Was-Said-About-the-Subject":"compatible"}
 What design function is essential to the success of this project?	{"Subject1":"project","What-Was-Said-About-the-Subject":"design function is essential"}
 What design function is essential to the success of this project?	{"Subject1":"this project","What-Was-Said-About-the-Subject":"design function is essential"}
 What is the purpose of recording two-person hallway conversations?	{"Subject1":"two-person hallway conversations","What-Was-Said-About-the-Subject":"purpose of recording"}
 What is the purpose of recording two-person hallway conversations?	{"Subject1":"two-person hallway conversations","What-Was-Said-About-the-Subject":"purpose of recording"}
 Why did HMRC become less viable when Julie became the Welsh Minister?	{"Person":"Julie","Subject1":"HMRC","What-Was-Said-About-the-Subject":"less viable"}
 Why did HMRC become less viable when Julie became the Welsh Minister?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"less viable","Person":"Julie"}
 How do you measure sonorance?	{"Subject1":"sonorance","What-Was-Said-About-the-Subject":"measure"}
 How do you measure sonorance?	{"Subject1":"sonorance","What-Was-Said-About-the-Subject":"measure"}
 What is the position of Kirsty Williams AM in relation to the increase of vulnerable children at schools?	{"Subject1":"increase of vulnerable children at schools","What-Was-Said-About-the-Subject":"position of Kirsty Williams AM","Person":"Kirsty Williams AM"}
 What is the position of Kirsty Williams AM in relation to the increase of vulnerable children at schools?	{"Person":"Kirsty Williams AM","What-Was-Said-About-the-Subject":"the position of Kirsty Williams AM","Subject1":"increase of vulnerable children at schools"}
 What are the benefits of a remote control with a sliding screen?	{"Subject1":"remote control with a sliding screen","What-Was-Said-About-the-Subject":"benefits"}
 What are the benefits of a remote control with a sliding screen?	{"Subject1":"remote control with a sliding screen","What-Was-Said-About-the-Subject":"benefits"}
 What is the professor's suggestion for the accuracy of the frame error rate for voice-unvoice?	{"Subject1":"voice-unvoice","What-Was-Said-About-the-Subject":"professor's suggestion for the accuracy of the frame error rate","Person":"professor"}
 What is the professor's suggestion for the accuracy of the frame error rate for voice-unvoice?	{"Person":"professor","Subject1":"voice-unvoice","What-Was-Said-About-the-Subject":"professor's suggestion for the accuracy of the frame error rate"}
 What is the deadline for the project?	{"Subject1":"project","What-Was-Said-About-the-Subject":"deadline"}
 What is the deadline for the project?	{"Subject1":"project","What-Was-Said-About-the-Subject":"deadline"}
 What are the drawbacks of using narrow band information in a speech recognition system?	{"Subject1":"speech recognition system","What-Was-Said-About-the-Subject":"drawbacks of using narrow band information"}
 What are the drawbacks of using narrow band information in a speech recognition system?	{"Subject1":"speech recognition system","What-Was-Said-About-the-Subject":"drawbacks of using narrow band information"}
 Why did HMRC not meet Welsh language standards?	{"Subject1":"Welsh language standards","What-Was-Said-About-the-Subject":"HMRC not meet"}
 Why did HMRC not meet Welsh language standards?	{"Subject1":"Welsh language standards","What-Was-Said-About-the-Subject":"HMRC not meet"}
 What is the nature of the problem with the on-line normalization filter?	{"Subject1":"on-line normalization filter","What-Was-Said-About-the-Subject":"nature of the problem"}
 What is the nature of the problem with the on-line normalization filter?	{"Subject1":"on-line normalization filter","What-Was-Said-About-the-Subject":"nature of the problem"}
 What are the specifications in terms of the constraints for the cost?	{"Subject1":"constraints for the cost","What-Was-Said-About-the-Subject":"specifications"}
 What are the specifications in terms of the constraints for the cost?	{"Subject1":"constraints for the cost","What-Was-Said-About-the-Subject":"specifications"}
 What is the best way to store data that is not backed up?	{"Subject1":"data that is not backed up","What-Was-Said-About-the-Subject":"best way to store"}
 What is the best way to store data that is not backed up?	{"Subject1":"data that is not backed up","What-Was-Said-About-the-Subject":"best way to store"}
 What is Professor D's opinion on the long-term effectiveness of the approach?	{"Subject1":"long-term effectiveness of the approach","What-Was-Said-About-the-Subject":"Professor D's opinion","Person":"Professor D"}
 What is Professor D's opinion on the long-term effectiveness of the approach?	{"Person":"Professor D","Subject1":"long-term effectiveness of the approach","What-Was-Said-About-the-Subject":"Professor D's opinion"}
 What is Professor C's idea for what to do with the variance?	{"Subject1":"variance","What-Was-Said-About-the-Subject":"Professor C's idea for what to do with","Person":"Professor C"}
 What is Professor C's idea for what to do with the variance?	{"Subject1":"variance","Person":"Professor C","What-Was-Said-About-the-Subject":"Professor C's idea for what to do with"}
 What are the results of the SRI system between the two methods?	{"Subject1":"SRI system","Subject2":"two methods","What-Was-Said-About-the-Subject":"results"}
 What are the results of the SRI system between the two methods?	{"Subject1":"SRI system","Subject2":"two methods","What-Was-Said-About-the-Subject":"results"}
 What are some examples of generosity by Canadians in the Brampton East riding?	{"Subject1":"generosity by Canadians in the Brampton East","What-Was-Said-About-the-Subject":"some examples"}
 What are some examples of generosity by Canadians in the Brampton East riding?	{"Subject1":"generosity by Canadians in the Brampton East riding","What-Was-Said-About-the-Subject":"some examples"}
 How are the neural nets and multi-frame KLT different?	{"Subject1":"neural nets","Subject2":"multi-frame KLT","What-Was-Said-About-the-Subject":"different"}
 How are the neural nets and multi-frame KLT different?	{"Subject1":"neural nets","Subject2":"multi-frame KLT","What-Was-Said-About-the-Subject":"different"}
 What are the main goals of the project?	{"Subject1":"project","What-Was-Said-About-the-Subject":"main goals"}
 What are the main goals of the project?	{"Subject1":"project","What-Was-Said-About-the-Subject":"main goals"}
 How much does the company have to spend on each unit?	{"Subject1":"each unit","What-Was-Said-About-the-Subject":"company have to spend"}
 How much does the company have to spend on each unit?	{"Subject1":"unit","What-Was-Said-About-the-Subject":"company have to spend"}
 What are the implications of the user interface choosing a badger?	{"Subject1":"badger","What-Was-Said-About-the-Subject":"implications of the user interface choosing","Person":"user interface"}
 What are the implications of the user interface choosing a badger?	{"Subject1":"badger","Person":"user interface","What-Was-Said-About-the-Subject":"implications of the user interface choosing"}
 What are the three primary requirements of the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"three primary requirements"}
 What are the three primary requirements of the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"three primary requirements"}
 What is the cause of the system not being able to house data?	{"Subject1":"data","What-Was-Said-About-the-Subject":"cause of the system not being able to house"}
 What is the cause of the system not being able to house data?	{"Subject1":"system","What-Was-Said-About-the-Subject":"not being able to house data"}
 What is the Welsh Government's role in the operation of school hub?	{"Subject1":"operation of school hub","What-Was-Said-About-the-Subject":"Welsh Government's role"}
 What is the Welsh Government's role in the operation of school hub?	{"Subject1":"school hub","What-Was-Said-About-the-Subject":"Welsh Government's role in the operation"}
 When will the Minister make a decision on when schools might reopen?	{"Subject1":"when schools might reopen","What-Was-Said-About-the-Subject":"Minister make a decision"}
 When will the Minister make a decision on when schools might reopen?	{"Subject1":"schools might reopen","What-Was-Said-About-the-Subject":"Minister make a decision"}
 Why does the green party support the privatization of social programs?	{"Subject1":"privatization of social programs","What-Was-Said-About-the-Subject":"green party support"}
 Why does the green party support the privatization of social programs?	{"Subject1":"privatization of social programs","What-Was-Said-About-the-Subject":"green party support"}
 What are the disadvantages of having a simplified display?	{"Subject1":"simplified display","What-Was-Said-About-the-Subject":"disadvantages"}
 What are the disadvantages of having a simplified display?	{"Subject1":"simplified display","What-Was-Said-About-the-Subject":"disadvantages"}
 What is the long-term plan for children's mental health?	{"Subject1":"children's mental health","What-Was-Said-About-the-Subject":"long-term plan"}
 What is the long-term plan for children's mental health?	{"Subject1":"children's mental health","What-Was-Said-About-the-Subject":"long-term plan"}
 What is the reliability of CD-ROMs when they are not burned?	{"Subject1":"CD-ROMs when they are not burned","What-Was-Said-About-the-Subject":"reliability"}
 What is the reliability of CD-ROMs when they are not burned?	{"Subject1":"CD-ROMs when they are not burned","What-Was-Said-About-the-Subject":"reliability"}
 What is the suggestion for the wizard introduction?	{"Subject1":"wizard introduction","What-Was-Said-About-the-Subject":"suggestion"}
 What is the suggestion for the wizard introduction?	{"Subject1":"wizard introduction","What-Was-Said-About-the-Subject":"suggestion"}
 How might speech recognition impact the battery life?	{"Subject1":"battery life","What-Was-Said-About-the-Subject":"speech recognition impact"}
 How might speech recognition impact the battery life?	{"Subject1":"battery life","What-Was-Said-About-the-Subject":"speech recognition impact"}
 What will the evaluation of the third year of the childcare offer show?	{"Subject1":"evaluation of the third year of the childcare offer","What-Was-Said-About-the-Subject":"show"}
 What will the evaluation of the third year of the childcare offer show?	{"Subject1":"childcare offer show","What-Was-Said-About-the-Subject":"evaluation of the third year"}
 what are some ideas marketing has for the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"some ideas marketing has","Person":"marketing"}
 what are some ideas marketing has for the remote control?	{"Person":"marketing","Subject1":"remote control","What-Was-Said-About-the-Subject":"some ideas"}
 What is the demographic of the people who are interested in the product?	{"Subject1":"product","What-Was-Said-About-the-Subject":"demographic of the people who are interested"}
 What is the demographic of the people who are interested in the product?	{"Subject1":"product","What-Was-Said-About-the-Subject":"demographic of the people who are interested"}
 How much will it cost to change the system to a permanent arrangement?	{"Subject1":"change the system to a permanent arrangement","What-Was-Said-About-the-Subject":"cost"}
 How much will it cost to change the system to a permanent arrangement?	{"What-Was-Said-About-the-Subject":"cost to change the system","Subject1":"permanent arrangement"}
 What is the approximate delay between the end of an utterance and the microscope moving?	{"Subject1":"end of an utterance","Subject2":"microscope moving","What-Was-Said-About-the-Subject":"approximate delay between"}
 What is the approximate delay between the end of an utterance and the microscope moving?	{"Subject1":"end of an utterance","Subject2":"microscope moving","What-Was-Said-About-the-Subject":"approximate delay"}
 What is the length of time between an utterance and the end of an utterance?	{"Subject1":"utterance","Subject2":"end of an utterance","What-Was-Said-About-the-Subject":"length of time"}
 What is the length of time between an utterance and the end of an utterance?	{"Subject1":"an utterance","Subject2":"end of an utterance","What-Was-Said-About-the-Subject":"length of time"}
 What is the government's response to the opposition's concern over the House of Commons?	{"Subject1":"House of Commons","What-Was-Said-About-the-Subject":"government's response to the opposition's concern"}
 What is the government's response to the opposition's concern over the House of Commons?	{"Subject1":"House of Commons","What-Was-Said-About-the-Subject":"government's response to the opposition's concern"}
 Have communities in your riding rallied to support vulnerable people during the COVID-19 crisis?	{"Subject1":"COVID-19 crisis","What-Was-Said-About-the-Subject":"communities in your riding rallied to support vulnerable people"}
 Have communities in your riding rallied to support vulnerable people during the COVID-19 crisis?	{"Subject1":"COVID-19 crisis","What-Was-Said-About-the-Subject":"communities in your riding rallied to support vulnerable people"}
 What are some features that a remote control should have in order to maximize usability?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"some features that a remote control should have in order to maximize usability"}
 What are some features that a remote control should have in order to maximize usability?	{"Subject1":"remote control","Subject2":"features","What-Was-Said-About-the-Subject":"maximize usability"}
 How does the government plan to support children who are not in school and those who are in school?	{"Subject1":"children who are not in school and those who are in school","What-Was-Said-About-the-Subject":"government plan to support"}
 How does the government plan to support children who are not in school and those who are in school?	{"Subject1":"children who are not in school and those who are in school","What-Was-Said-About-the-Subject":"government plan to support"}
 What is the potential problem for voice recognition?	{"Subject1":"voice recognition","What-Was-Said-About-the-Subject":"potential problem"}
 What is the potential problem for voice recognition?	{"Subject1":"voice recognition","What-Was-Said-About-the-Subject":"potential problem"}
 What was the result of the experiment where the training and testing links were not the same?	{"Subject1":"experiment where the training and testing links were not the same","What-Was-Said-About-the-Subject":"result"}
 What was the result of the experiment where the training and testing links were not the same?	{"Subject1":"result of the experiment","What-Was-Said-About-the-Subject":"training and testing links were not the same"}
 What are some ways to reduce the combinatorics in the input to the Mode?	{"Subject1":"input to the Mode","What-Was-Said-About-the-Subject":"some ways to reduce the combinatorics"}
 What are some ways to reduce the combinatorics in the input to the Mode?	{"Subject1":"Mode","What-Was-Said-About-the-Subject":"some ways to reduce the combinatorics in the input"}
 What percentage of the children attending are the children of key workers?	{"Subject1":"children of key workers","What-Was-Said-About-the-Subject":"percentage of the children attending"}
 What percentage of the children attending are the children of key workers?	{"Subject1":"children of key workers","What-Was-Said-About-the-Subject":"percentage of the children attending"}
 What are some of the different functions for the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"some of the different functions"}
 What are some of the different functions for the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"some of the different functions"}
 What were the thoughts of the Industrial Designer about speech recognition?	{"Subject1":"speech recognition","What-Was-Said-About-the-Subject":"thoughts of the Industrial Designer","Person":"Industrial Designer"}
 What were the thoughts of the Industrial Designer about speech recognition?	{"Subject1":"speech recognition","What-Was-Said-About-the-Subject":"thoughts of the Industrial Designer","Person":"Industrial Designer"}
 What are the features that the support vector machine uses?	{"Subject1":"support vector machine","What-Was-Said-About-the-Subject":"features"}
 What are the features that the support vector machine uses?	{"What-Was-Said-About-the-Subject":"features","Subject1":"support vector machine"}
 What does the user interface think of the badger?	{"Subject1":"badger","What-Was-Said-About-the-Subject":"user interface think","Person":"user interface"}
 What does the user interface think of the badger?	{"Subject1":"badger","What-Was-Said-About-the-Subject":"user interface think","Person":"user interface"}
 What are the advantages of a cradle for the remote control?	{"Subject1":"cradle for the remote control","What-Was-Said-About-the-Subject":"advantages"}
 What are the advantages of a cradle for the remote control?	{"Subject1":"cradle for the remote control","What-Was-Said-About-the-Subject":"advantages"}
 What are the drawbacks of speech recognition for older people?	{"Subject1":"speech recognition for older people","What-Was-Said-About-the-Subject":"drawbacks"}
 What are the drawbacks of speech recognition for older people?	{"Subject1":"speech recognition for older people","What-Was-Said-About-the-Subject":"drawbacks"}
 How does the filter handle convolutional noise?	{"Subject1":"convolutional noise","What-Was-Said-About-the-Subject":"filter handle"}
 How does the filter handle convolutional noise?	{"Subject1":"convolutional noise","What-Was-Said-About-the-Subject":"filter handle"}
 What does Professor C think the issue is with using three outputs in order to distinguish between voiced and unvoiced speech?	{"Subject1":"voiced and unvoiced speech","Person":"Professor C","What-Was-Said-About-the-Subject":"Professor C think the issue is with using three outputs"}
 What does Professor C think the issue is with using three outputs in order to distinguish between voiced and unvoiced speech?	{"Subject1":"voiced and unvoiced speech","What-Was-Said-About-the-Subject":"issue is with using three outputs","Person":"Professor C"}
 What is the Welsh Government's position on the importance of testing in the next phase?	{"Subject1":"importance of testing","What-Was-Said-About-the-Subject":"Welsh Government's position"}
 What is the Welsh Government's position on the importance of testing in the next phase?	{"Subject1":"importance of testing in the next phase","What-Was-Said-About-the-Subject":"Welsh Government's position"}
 What is the danger of not having a backup of meetings and the backup and the archive?	{"Subject1":"backup of meetings","Subject2":"backup and the archive","What-Was-Said-About-the-Subject":"danger of not having"}
 What is the danger of not having a backup of meetings and the backup and the archive?	{"Subject1":"backup of meetings","Subject2":"the backup and the archive","What-Was-Said-About-the-Subject":"danger of not having"}
 What is the Welsh Government's advice for those working in the hubs?	{"Subject1":"working in the hubs","What-Was-Said-About-the-Subject":"Welsh Government's advice"}
 What is the Welsh Government's advice for those working in the hubs?	{"What-Was-Said-About-the-Subject":"Welsh Government's advice","Subject1":"those working in the hubs"}
 How does the Welsh Government plan to use the additional money to support children and families affected by the pandemic?	{"Subject1":"children and families affected by the pandemic","What-Was-Said-About-the-Subject":"Welsh Government plan to use the additional money to support"}
 How does the Welsh Government plan to use the additional money to support children and families affected by the pandemic?	{"What-Was-Said-About-the-Subject":"Welsh Government plan to use the additional money to support","Subject1":"children and families affected by the pandemic"}
 What are some features that the remote should not have for disabled people?	{"Subject1":"remote should not have for disabled people","What-Was-Said-About-the-Subject":"some features"}
 What are some features that the remote should not have for disabled people?	{"Subject1":"remote should not have for disabled people","What-Was-Said-About-the-Subject":"some features"}
 What is the Minister of Public Safety's stance on hunters?	{"Subject1":"hunters","What-Was-Said-About-the-Subject":"Minister of Public Safety's stance"}
 What is the Minister of Public Safety's stance on hunters?	{"Subject1":"hunters","What-Was-Said-About-the-Subject":"Minister of Public Safety's stance"}
 What are some of the things that should be evaluated to improve the recognition results?	{"Subject1":"recognition results","What-Was-Said-About-the-Subject":"some of the things that should be evaluated to improve"}
 What are some of the things that should be evaluated to improve the recognition results?	{"Subject1":"recognition results","What-Was-Said-About-the-Subject":"things that should be evaluated to improve"}
 What are the advantages of this product over other products on the market?	{"Subject1":"this product over other products on the market","What-Was-Said-About-the-Subject":"advantages"}
 What are the advantages of this product over other products on the market?	{"Subject1":"this product over other products on the market","What-Was-Said-About-the-Subject":"advantages"}
 How many of the projects that the Canada Infrastructure Bank was in charge of had been completed?	{"Subject1":"Canada Infrastructure Bank","What-Was-Said-About-the-Subject":"projects"}
 How many of the projects that the Canada Infrastructure Bank was in charge of had been completed?	{"Subject1":"Canada Infrastructure Bank","What-Was-Said-About-the-Subject":"projects"}
 What is Professor D's opinion on this method of storage?	{"Subject1":"method of storage","What-Was-Said-About-the-Subject":"Professor D's opinion","Person":"Professor D"}
 What is Professor D's opinion on this method of storage?	{"Subject1":"method of storage","What-Was-Said-About-the-Subject":"Professor D's opinion","Person":"Professor D"}
 How will Qualifications Wales award a grade to our A-level and GCSE students?	{"Subject1":"A-level and GCSE students","What-Was-Said-About-the-Subject":"Wales award a grade"}
 How will Qualifications Wales award a grade to our A-level and GCSE students?	{"Subject1":"A-level and GCSE students","What-Was-Said-About-the-Subject":"Wales award a grade"}
 What is the difference between young people and older people's response to remote controls?	{"Subject1":"remote controls","What-Was-Said-About-the-Subject":"difference between young people and older people's response"}
 What is the difference between young people and older people's response to remote controls?	{"Subject1":"remote controls","What-Was-Said-About-the-Subject":"difference between young people and older people's response"}
 What are the personal preferences of the Marketing team?	{"Person":"Marketing team","Subject1":"Marketing team","What-Was-Said-About-the-Subject":"personal preferences"}
 What are the personal preferences of the Marketing team?	{"Subject1":"Marketing team","Person":"Marketing team","What-Was-Said-About-the-Subject":"personal preferences"}
 What style of chip were they discussing?	{"Subject1":"style of chip"}
 What style of chip were they discussing?	{"Subject1":"style of chip"}
 What is the delay of the on-line normalization filter?	{"Subject1":"on-line normalization filter","What-Was-Said-About-the-Subject":"delay"}
 What is the delay of the on-line normalization filter?	{"Subject1":"on-line normalization filter","What-Was-Said-About-the-Subject":"delay"}
 What are the five principles that the Minister outlined for when schools will reopen?	{"Subject1":"schools will reopen","What-Was-Said-About-the-Subject":"five principles that the Minister outlined"}
 What are the five principles that the Minister outlined for when schools will reopen?	{"Subject1":"schools will reopen","What-Was-Said-About-the-Subject":"five principles that the Minister outlined"}
 What is the most common way people store data?	{"Subject1":"data","What-Was-Said-About-the-Subject":"most common way people store"}
 What is the most common way people store data?	{"Subject1":"data","What-Was-Said-About-the-Subject":"most common way people store"}
 What are the benefits of having the detailed functions hidden at the back of the remote?	{"Subject1":"detailed functions hidden at the back of the remote","What-Was-Said-About-the-Subject":"benefits"}
 What are the benefits of having the detailed functions hidden at the back of the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"benefits of having the detailed functions hidden at the back"}
 What would be the first step in a generalized "Go" X-schema?	{"Subject1":"generalized \"Go\" X-schema","What-Was-Said-About-the-Subject":"first step"}
 What would be the first step in a generalized "Go" X-schema?	{"Subject1":"generalized \"Go\" X-schema","What-Was-Said-About-the-Subject":"first step"}
 What is a solution for data storage?	{"Subject1":"data storage","What-Was-Said-About-the-Subject":"solution"}
 What is a solution for data storage?	{"Subject1":"data storage","What-Was-Said-About-the-Subject":"solution"}
 What are the limitations of the sigmoid function when used on continuous variables?	{"Subject1":"sigmoid function when used on continuous variables","What-Was-Said-About-the-Subject":"limitations"}
 What are the limitations of the sigmoid function when used on continuous variables?	{"Subject1":"continuous variables","What-Was-Said-About-the-Subject":"imitations of the sigmoid function"}
 What are the materials of the chips, board, and speaker?	{"Subject1":"chips, board, and speaker","What-Was-Said-About-the-Subject":"materials"}
 What are the materials of the chips, board, and speaker?	{"What-Was-Said-About-the-Subject":"materials","Subject1":"chips, board, and speaker"}
 What materials did the industrial designer mention in their personal preferences?	{"Person":"industrial designer","Subject1":"materials","What-Was-Said-About-the-Subject":"personal preferences"}
 What materials did the industrial designer mention in their personal preferences?	{"Person":"industrial designer","Subject1":"materials","What-Was-Said-About-the-Subject":"industrial designer mention in their personal preferences"}
 What is the next evaluation that will give a better picture of the impact of the childcare offer?	{"Subject1":"childcare offer","What-Was-Said-About-the-Subject":"next evaluation that will give a better picture of the impact"}
 What is the next evaluation that will give a better picture of the impact of the childcare offer?	{"Subject1":"childcare offer","What-Was-Said-About-the-Subject":"next evaluation that will give a better picture of the impact"}
 What do support vector machines do for classification?	{"Subject1":"support vector machines","What-Was-Said-About-the-Subject":"do for classification"}
 What do support vector machines do for classification?	{"Subject1":"support vector machines","What-Was-Said-About-the-Subject":"do for classification"}
 What are the challenges schools are facing in this next phase?	{"Subject1":"challenges schools are facing","What-Was-Said-About-the-Subject":"next phase"}
 What are the challenges schools are facing in this next phase?	{"Subject1":"this next phase","What-Was-Said-About-the-Subject":"challenges schools are facing"}
 What prompted the discussion of chip type?	{"Subject1":"chip type","What-Was-Said-About-the-Subject":"discussion"}
 What prompted the discussion of chip type?	{"Subject1":"chip type","What-Was-Said-About-the-Subject":"prompted the discussion"}
 What is the problem with one-word recognition?	{"Subject1":"one-word recognition","What-Was-Said-About-the-Subject":"problem"}
 What is the problem with one-word recognition?	{"Subject1":"one-word recognition","What-Was-Said-About-the-Subject":"problem"}
 What is the difference between school counselling and remote counselling?	{"Subject1":"school counselling","Subject2":"remote counselling","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between school counselling and remote counselling?	{"Subject1":"school counselling","Subject2":"remote counselling","What-Was-Said-About-the-Subject":"difference"}
 What is the Welsh Government's main reason for not going with HMRC?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"Welsh Government's main reason for not going"}
 What is the Welsh Government's main reason for not going with HMRC?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"Welsh Government's main reason for not going"}
 What is the difference between latency and processing time?	{"Subject1":"latency","Subject2":"processing time","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between latency and processing time?	{"Subject1":"latency","Subject2":"processing time","What-Was-Said-About-the-Subject":"difference"}
